resume_text,required_skills,cgpa,aptitude_score,college_tier,company_name
"Experienced in SQL, JavaScript, Spring Boot, RESTful APIs, Oracle. Strengths include Logical Thinking, Problem-solving, Adaptability.","Ruby on Rails, Flask, MongoDB, Attention to Detail, Leadership",8.79,6,NIT,Infosys
"Experienced in Leadership, Oracle, Go, Mentoring, Continuous Learning. Strengths include Logical Thinking, Communication, Continuous Learning.","Cloud Architecture, Node.js, Attention to Detail, Django, Time Management",6.7,5,IIT,Cybage Software Pvt Ltd
"Experienced in Problem-solving, Teamwork, Node.js, Cloud Architecture, SQL. Strengths include Collaboration, Logical Thinking, Attention to Detail.","Azure, Google Cloud, TensorFlow, Web Services, Cassandra",9.5,8,SPPU,Accenture
"Experienced in Oracle, JavaScript, AWS, Cloud Architecture, Teamwork. Strengths include Mentoring, Communication, Time Management.","SQL, Cassandra, Communication, Azure, MongoDB",8.1,6,SPPU,Tata Consultancy Services (TCS)
"Experienced in Teamwork, Mentoring, PHP, Spark, Cloud Computing. Strengths include Leadership, Collaboration, Attention to Detail.","Web Services, Django, Mentoring, PHP, Time Management",9.79,7,Other,Wipro
"Experienced in JavaScript, MySQL, SQL, Analytical Thinking, Cloud Architecture. Strengths include Analytical Thinking, Teamwork, Leadership.","RESTful APIs, Communication, Go, Oracle, NLP",8.19,8,NIT,Deloitte
"Experienced in Node.js, Cassandra, Go, Continuous Learning, Analytical Thinking. Strengths include Logical Thinking, Teamwork, Time Management.","Ruby, Cloud Computing, MongoDB, Python, Adaptability",8.82,10,SPPU,Tata Consultancy Services (TCS)
"Experienced in Go, TensorFlow, RESTful APIs, Mentoring, NLP. Strengths include Teamwork, Leadership, Logical Thinking.","Node.js, Attention to Detail, Python, RESTful APIs, Time Management",6.57,9,Mumbai University,Tata Consultancy Services (TCS)
"Experienced in SQL, React, Continuous Learning, JavaScript, Leadership. Strengths include Leadership, Attention to Detail, Time Management.","Oracle, Flask, Go, Communication, RESTful APIs",9.89,7,Mumbai University,Deloitte
"Experienced in Java, Analytical Thinking, Ruby on Rails, Leadership, Flask. Strengths include Time Management, Mentoring, Logical Thinking.","MongoDB, Java, React, MySQL, Flask",8.66,7,Other,Tech Mahindra
"Experienced in TensorFlow, PostgreSQL, Java, Spark, Time Management. Strengths include Mentoring, Time Management, Teamwork.","Cassandra, Problem-solving, Python, MySQL, DevOps",6.13,7,SPPU,Deloitte
"Experienced in RESTful APIs, Ruby, Cloud Architecture, Spring Boot, Spark. Strengths include Communication, Logical Thinking, Mentoring.","Problem-solving, Communication, Cloud Computing, Mentoring, RESTful APIs",6.49,10,Mumbai University,Accenture
"Experienced in Go, DevOps, Continuous Learning, Oracle, Java. Strengths include Mentoring, Adaptability, Collaboration.","Logical Thinking, Oracle, Cloud Computing, PostgreSQL, Continuous Learning",7.08,9,IIT,Cybage Software Pvt Ltd
"Experienced in Cassandra, Communication, Spark, Web Services, Continuous Learning. Strengths include Mentoring, Attention to Detail, Problem-solving.","PostgreSQL, Go, Continuous Learning, Logical Thinking, Ruby on Rails",6.26,9,Other,Accenture
"Experienced in Azure, Teamwork, MySQL, Mentoring, Django. Strengths include Logical Thinking, Mentoring, Attention to Detail.","React, Collaboration, PHP, Cloud Computing, SQL",7.47,4,NIT,Cyient Ltd
"Experienced in MySQL, Problem-solving, NLP, DevOps, Cloud Computing. Strengths include Mentoring, Teamwork, Time Management.","MongoDB, Java, Attention to Detail, PostgreSQL, Logical Thinking",7.87,7,SPPU,Tech Mahindra
"Experienced in Ruby, Analytical Thinking, Google Cloud, SQL, Teamwork. Strengths include Mentoring, Leadership, Logical Thinking.","Communication, NLP, Ruby, RESTful APIs, Azure",8.61,4,Mumbai University,Wipro
"Experienced in Analytical Thinking, NLP, MySQL, React, PHP. Strengths include Problem-solving, Continuous Learning, Teamwork.","Ruby, Azure, Flask, Web Services, Mentoring",9.56,10,Mumbai University,Tech Mahindra
"Experienced in Communication, Continuous Learning, Mentoring, Analytical Thinking, Flask. Strengths include Communication, Adaptability, Attention to Detail.","DevOps, Oracle, Collaboration, AWS, Ruby on Rails",7.21,10,NIT,Cyient Ltd
"Experienced in Java, JavaScript, Oracle, Ruby, Adaptability. Strengths include Problem-solving, Attention to Detail, Adaptability.","SQL, Ruby on Rails, Leadership, Flask, MySQL",6.65,10,NIT,Cyient Ltd
"Experienced in Adaptability, Time Management, Communication, PostgreSQL, Mentoring. Strengths include Analytical Thinking, Time Management, Attention to Detail.","Django, PostgreSQL, Oracle, Continuous Learning, Teamwork",9.02,6,IIT,HCL Technologies
"Experienced in Leadership, PHP, MySQL, Attention to Detail, AWS. Strengths include Problem-solving, Logical Thinking, Continuous Learning.","MongoDB, Spring Boot, Analytical Thinking, Teamwork, Ruby on Rails",7.15,10,IIT,Tata Consultancy Services (TCS)
"Experienced in Spring Boot, Go, Django, Cloud Architecture, PHP. Strengths include Mentoring, Adaptability, Collaboration.","Mentoring, Adaptability, Django, Leadership, Spark",8.04,6,Other,Infosys
"Experienced in Adaptability, SQL, Analytical Thinking, JavaScript, Google Cloud. Strengths include Communication, Mentoring, Analytical Thinking.","TensorFlow, Adaptability, Time Management, Attention to Detail, Logical Thinking",9.3,8,NIT,Deloitte
"Experienced in RESTful APIs, Cloud Computing, Communication, Cassandra, Google Cloud. Strengths include Collaboration, Adaptability, Leadership.","Ruby, Cloud Architecture, Google Cloud, Spring Boot, Adaptability",7.28,7,Mumbai University,Infosys
"Experienced in JavaScript, Problem-solving, Oracle, Node.js, Java. Strengths include Leadership, Mentoring, Collaboration.","Google Cloud, Teamwork, DevOps, AWS, Cloud Computing",6.85,7,IIT,Tech Mahindra
"Experienced in Analytical Thinking, Go, Mentoring, Oracle, Web Services. Strengths include Communication, Teamwork, Adaptability.","Google Cloud, Ruby on Rails, Oracle, Azure, Time Management",7.99,4,NIT,Infosys
"Experienced in RESTful APIs, PHP, Cassandra, Web Services, Cloud Computing. Strengths include Communication, Problem-solving, Leadership.","Problem-solving, NLP, MySQL, PostgreSQL, Attention to Detail",6.07,6,NIT,Accenture
"Experienced in Cassandra, Azure, Google Cloud, Go, Node.js. Strengths include Analytical Thinking, Collaboration, Problem-solving.","Django, TensorFlow, Collaboration, Teamwork, Problem-solving",7.7,9,Mumbai University,Tata Consultancy Services (TCS)
"Experienced in React, Time Management, Logical Thinking, Leadership, Cloud Architecture. Strengths include Collaboration, Adaptability, Mentoring.","Google Cloud, Ruby, Cloud Architecture, Django, TensorFlow",8.7,6,Mumbai University,Deloitte
"Experienced in Ruby on Rails, Node.js, Leadership, Spark, Continuous Learning. Strengths include Leadership, Analytical Thinking, Communication.","Spark, Adaptability, Analytical Thinking, Azure, Attention to Detail",7.88,8,Mumbai University,HCL Technologies
"Experienced in Java, Time Management, MySQL, Cloud Architecture, Problem-solving. Strengths include Attention to Detail, Mentoring, Leadership.","MySQL, Collaboration, Flask, Time Management, Azure",7.57,10,NIT,Deloitte
"Experienced in Cassandra, MongoDB, Attention to Detail, Flask, Oracle. Strengths include Logical Thinking, Attention to Detail, Leadership.","Logical Thinking, Spark, PHP, AWS, Java",6.88,8,Other,HCL Technologies
"Experienced in NLP, Leadership, Web Services, RESTful APIs, Cassandra. Strengths include Logical Thinking, Analytical Thinking, Continuous Learning.","Cloud Computing, MySQL, Ruby on Rails, JavaScript, Django",7.57,10,IIT,Cyient Ltd
"Experienced in Attention to Detail, Adaptability, Cloud Architecture, MongoDB, Azure. Strengths include Leadership, Attention to Detail, Mentoring.","TensorFlow, NLP, Flask, Ruby on Rails, Continuous Learning",7.12,9,SPPU,Oracle
"Experienced in Web Services, Analytical Thinking, Django, Time Management, Logical Thinking. Strengths include Teamwork, Time Management, Problem-solving.","Go, Continuous Learning, Cloud Computing, SQL, Ruby on Rails",6.67,8,Mumbai University,Cybage Software Pvt Ltd
"Experienced in TensorFlow, MySQL, Web Services, Leadership, Problem-solving. Strengths include Problem-solving, Leadership, Logical Thinking.","Django, Flask, Oracle, Spring Boot, Web Services",9.78,5,Mumbai University,Oracle
"Experienced in Cloud Architecture, Time Management, PHP, RESTful APIs, Leadership. Strengths include Communication, Teamwork, Problem-solving.","Node.js, MySQL, Azure, Continuous Learning, PostgreSQL",9.27,6,NIT,Tata Consultancy Services (TCS)
"Experienced in Azure, Oracle, TensorFlow, Communication, Ruby on Rails. Strengths include Communication, Time Management, Problem-solving.","Cloud Architecture, Web Services, Flask, React, NLP",9.53,9,SPPU,Cyient Ltd
"Experienced in Oracle, Analytical Thinking, MongoDB, MySQL, Ruby. Strengths include Mentoring, Adaptability, Collaboration.","Mentoring, Time Management, Logical Thinking, Attention to Detail, Communication",6.97,4,SPPU,Tech Mahindra
"Experienced in Google Cloud, Communication, Time Management, Cloud Computing, PostgreSQL. Strengths include Attention to Detail, Communication, Logical Thinking.","Azure, Spark, TensorFlow, Collaboration, Cassandra",9.13,7,SPPU,Tech Mahindra
"Experienced in Cloud Computing, Ruby, TensorFlow, Logical Thinking, Cassandra. Strengths include Problem-solving, Communication, Adaptability.","Teamwork, Ruby on Rails, NLP, JavaScript, SQL",7.92,6,NIT,Wipro
"Experienced in React, Spring Boot, Flask, Leadership, Mentoring. Strengths include Leadership, Teamwork, Analytical Thinking.","Mentoring, Time Management, PHP, RESTful APIs, DevOps",6.15,9,NIT,Tata Consultancy Services (TCS)
"Experienced in Node.js, AWS, Mentoring, MongoDB, Cassandra. Strengths include Communication, Analytical Thinking, Problem-solving.","Continuous Learning, Flask, Logical Thinking, NLP, JavaScript",9.3,8,Other,Deloitte
"Experienced in Adaptability, Cassandra, AWS, PHP, Logical Thinking. Strengths include Analytical Thinking, Collaboration, Teamwork.","RESTful APIs, NLP, Node.js, TensorFlow, Oracle",7.42,8,IIT,Tech Mahindra
"Experienced in Ruby on Rails, Azure, Flask, Attention to Detail, JavaScript. Strengths include Attention to Detail, Problem-solving, Communication.","Attention to Detail, Communication, Azure, MySQL, Leadership",9.72,5,Mumbai University,Wipro
"Experienced in TensorFlow, Go, Attention to Detail, Cloud Computing, PostgreSQL. Strengths include Attention to Detail, Teamwork, Mentoring.","DevOps, Node.js, NLP, React, Leadership",8.43,4,NIT,Tata Consultancy Services (TCS)
"Experienced in Continuous Learning, Mentoring, Oracle, Attention to Detail, TensorFlow. Strengths include Collaboration, Time Management, Attention to Detail.","SQL, RESTful APIs, Go, Python, PostgreSQL",7.38,4,Other,Oracle
"Experienced in Node.js, PostgreSQL, React, Cassandra, Spring Boot. Strengths include Attention to Detail, Collaboration, Time Management.","Continuous Learning, Java, Django, SQL, Communication",8.31,7,NIT,Deloitte
"Experienced in Azure, MongoDB, PHP, Attention to Detail, Problem-solving. Strengths include Leadership, Collaboration, Mentoring.","Go, Java, Communication, AWS, Cloud Computing",6.64,8,IIT,Deloitte
"Experienced in Cloud Architecture, DevOps, Spark, Cassandra, Azure. Strengths include Continuous Learning, Teamwork, Attention to Detail.","Cassandra, Cloud Architecture, PHP, Attention to Detail, Problem-solving",8.83,4,IIT,Wipro
"Experienced in Java, Adaptability, NLP, Logical Thinking, Ruby on Rails. Strengths include Logical Thinking, Communication, Collaboration.","AWS, Problem-solving, Attention to Detail, Web Services, Google Cloud",8.37,8,Other,HCL Technologies
"Experienced in Communication, Logical Thinking, Continuous Learning, Spring Boot, Adaptability. Strengths include Attention to Detail, Communication, Logical Thinking.","Django, PHP, Leadership, Attention to Detail, React",9.49,5,IIT,Tata Consultancy Services (TCS)
"Experienced in TensorFlow, Analytical Thinking, Collaboration, Time Management, Attention to Detail. Strengths include Adaptability, Communication, Analytical Thinking.","RESTful APIs, Adaptability, PostgreSQL, Java, Attention to Detail",8.43,8,IIT,Tata Consultancy Services (TCS)
"Experienced in Flask, Go, PostgreSQL, AWS, Analytical Thinking. Strengths include Communication, Continuous Learning, Teamwork.","PHP, Analytical Thinking, AWS, MongoDB, TensorFlow",9.79,8,NIT,Cyient Ltd
"Experienced in Node.js, Teamwork, Logical Thinking, Java, Oracle. Strengths include Problem-solving, Leadership, Collaboration.","MySQL, SQL, Flask, Google Cloud, Web Services",6.32,10,NIT,Cybage Software Pvt Ltd
"Experienced in Oracle, Collaboration, MongoDB, SQL, Leadership. Strengths include Time Management, Problem-solving, Communication.","Google Cloud, Python, Adaptability, Flask, Cloud Computing",6.32,6,SPPU,Cyient Ltd
"Experienced in Communication, AWS, RESTful APIs, PostgreSQL, TensorFlow. Strengths include Communication, Continuous Learning, Collaboration.","Communication, TensorFlow, Ruby on Rails, MySQL, Analytical Thinking",9.32,4,NIT,Wipro
"Experienced in SQL, Logical Thinking, Communication, Ruby, Spark. Strengths include Logical Thinking, Time Management, Continuous Learning.","Ruby on Rails, Python, Leadership, Cassandra, Collaboration",8.44,9,IIT,Tech Mahindra
"Experienced in Attention to Detail, Mentoring, Python, Cloud Computing, Ruby. Strengths include Adaptability, Communication, Logical Thinking.","Leadership, Ruby, Time Management, Problem-solving, PostgreSQL",9.27,9,NIT,Infosys
"Experienced in Python, Teamwork, Node.js, Ruby on Rails, Continuous Learning. Strengths include Time Management, Logical Thinking, Adaptability.","Analytical Thinking, PostgreSQL, PHP, Java, Go",9.42,9,Other,Cyient Ltd
"Experienced in Spark, Logical Thinking, Flask, Teamwork, Cloud Computing. Strengths include Collaboration, Time Management, Adaptability.","Cloud Computing, PostgreSQL, Node.js, JavaScript, Cloud Architecture",9.34,7,Other,Tata Consultancy Services (TCS)
"Experienced in Cloud Computing, Ruby on Rails, TensorFlow, Ruby, RESTful APIs. Strengths include Adaptability, Time Management, Attention to Detail.","React, Teamwork, Java, Mentoring, Leadership",8.72,5,IIT,HCL Technologies
"Experienced in Ruby, NLP, Azure, Ruby on Rails, DevOps. Strengths include Communication, Leadership, Adaptability.","SQL, Adaptability, Time Management, Node.js, Mentoring",8.42,9,SPPU,Cyient Ltd
"Experienced in Ruby on Rails, Cassandra, RESTful APIs, Mentoring, Cloud Architecture. Strengths include Communication, Adaptability, Attention to Detail.","Problem-solving, Ruby on Rails, Adaptability, Communication, RESTful APIs",6.39,9,Mumbai University,Cyient Ltd
"Experienced in PostgreSQL, Logical Thinking, Ruby on Rails, Google Cloud, RESTful APIs. Strengths include Analytical Thinking, Continuous Learning, Collaboration.","Adaptability, PHP, SQL, Python, Logical Thinking",7.77,5,Other,HCL Technologies
"Experienced in PostgreSQL, Analytical Thinking, NLP, DevOps, Spark. Strengths include Communication, Problem-solving, Collaboration.","MySQL, Oracle, Adaptability, PostgreSQL, Ruby on Rails",6.88,6,Mumbai University,Deloitte
"Experienced in Web Services, Azure, DevOps, Flask, MongoDB. Strengths include Analytical Thinking, Collaboration, Communication.","Continuous Learning, Attention to Detail, Time Management, Leadership, Analytical Thinking",6.09,5,IIT,Cyient Ltd
"Experienced in Analytical Thinking, Django, MySQL, Mentoring, Logical Thinking. Strengths include Attention to Detail, Teamwork, Time Management.","Attention to Detail, Problem-solving, Continuous Learning, AWS, Analytical Thinking",8.22,10,IIT,HCL Technologies
"Experienced in Teamwork, Node.js, Azure, SQL, Problem-solving. Strengths include Problem-solving, Leadership, Logical Thinking.","PostgreSQL, Communication, Mentoring, Google Cloud, Analytical Thinking",9.9,5,Other,Deloitte
"Experienced in JavaScript, Cloud Architecture, MongoDB, SQL, Time Management. Strengths include Logical Thinking, Attention to Detail, Communication.","Node.js, Adaptability, SQL, Analytical Thinking, Continuous Learning",7.8,7,Mumbai University,Tech Mahindra
"Experienced in RESTful APIs, React, JavaScript, Analytical Thinking, PHP. Strengths include Teamwork, Time Management, Analytical Thinking.","Django, Cassandra, RESTful APIs, Collaboration, DevOps",8.1,8,Mumbai University,Cyient Ltd
"Experienced in Continuous Learning, MySQL, Spark, Logical Thinking, Ruby on Rails. Strengths include Time Management, Collaboration, Analytical Thinking.","Adaptability, Django, Go, Web Services, PostgreSQL",9.36,6,SPPU,HCL Technologies
"Experienced in Python, Oracle, RESTful APIs, Cloud Architecture, Leadership. Strengths include Teamwork, Leadership, Problem-solving.","Collaboration, Flask, Attention to Detail, Adaptability, Python",6.58,6,SPPU,Wipro
"Experienced in Time Management, NLP, Mentoring, MySQL, Node.js. Strengths include Leadership, Mentoring, Adaptability.","MySQL, Attention to Detail, AWS, RESTful APIs, Azure",9.9,10,SPPU,Cyient Ltd
"Experienced in Django, Go, Logical Thinking, PostgreSQL, Web Services. Strengths include Attention to Detail, Logical Thinking, Problem-solving.","AWS, Node.js, Adaptability, Attention to Detail, Continuous Learning",8.58,5,SPPU,HCL Technologies
"Experienced in Cloud Computing, Problem-solving, Spark, Spring Boot, MySQL. Strengths include Problem-solving, Logical Thinking, Adaptability.","RESTful APIs, Teamwork, NLP, Collaboration, Cloud Computing",9.54,8,Mumbai University,Accenture
"Experienced in SQL, Flask, Node.js, Spring Boot, Mentoring. Strengths include Attention to Detail, Communication, Adaptability.","AWS, Ruby, Logical Thinking, DevOps, Problem-solving",6.49,6,Other,Tata Consultancy Services (TCS)
"Experienced in NLP, Ruby on Rails, TensorFlow, Cloud Architecture, Django. Strengths include Attention to Detail, Continuous Learning, Collaboration.","Django, SQL, TensorFlow, Ruby on Rails, MySQL",6.08,9,NIT,Oracle
"Experienced in Oracle, Go, Ruby, MySQL, Logical Thinking. Strengths include Continuous Learning, Time Management, Collaboration.","Collaboration, Spark, Cloud Architecture, Adaptability, Java",8.36,4,IIT,Tech Mahindra
"Experienced in AWS, Communication, Continuous Learning, Problem-solving, Adaptability. Strengths include Time Management, Mentoring, Teamwork.","Oracle, Spark, Communication, Go, NLP",9.34,7,SPPU,HCL Technologies
"Experienced in Google Cloud, Oracle, Problem-solving, Cloud Architecture, PHP. Strengths include Communication, Continuous Learning, Attention to Detail.","NLP, Node.js, AWS, Collaboration, PostgreSQL",8.91,9,Mumbai University,Cyient Ltd
"Experienced in Mentoring, AWS, Java, Web Services, NLP. Strengths include Logical Thinking, Time Management, Mentoring.","Time Management, Mentoring, Spark, Web Services, Google Cloud",8.94,9,NIT,Infosys
"Experienced in Cassandra, RESTful APIs, Collaboration, AWS, NLP. Strengths include Continuous Learning, Collaboration, Attention to Detail.","Leadership, React, Logical Thinking, RESTful APIs, PostgreSQL",6.5,10,IIT,Tata Consultancy Services (TCS)
"Experienced in Adaptability, Django, Cloud Computing, Web Services, RESTful APIs. Strengths include Mentoring, Teamwork, Logical Thinking.","MongoDB, Web Services, Leadership, Cloud Architecture, RESTful APIs",6.75,5,NIT,Tata Consultancy Services (TCS)
"Experienced in Cassandra, Node.js, AWS, Ruby, Cloud Architecture. Strengths include Time Management, Problem-solving, Collaboration.","Time Management, DevOps, RESTful APIs, Ruby, PHP",6.45,8,Other,Deloitte
"logical thinking, go, time management, javascript, cassandra, mongodb, Spring Boot, React, ruby on rails, analytical thinking","mysql, python, cassandra, Cloud Architecture, React",8.64,10,IIT,Tata Consultancy Services (TCS)
"communication, Spark, ruby, adaptability, java, AWS, Cloud Computing, sql, google cloud, flask","JavaScript, Azure, sql, analytical thinking, google cloud",8.81,9,IIT,Tata Consultancy Services (TCS)
"sql, php, Cloud Architecture, AWS, DevOps, TensorFlow, web services, oracle, leadership, teamwork","teamwork, ruby, go, ruby on rails, oracle",9.77,10,IIT,Tata Consultancy Services (TCS)
"javascript, Azure, continuous learning, mysql, React, ruby on rails, Cloud Architecture, leadership, Spark, teamwork","go, teamwork, ruby, DevOps, restful apis",9.19,10,IIT,Tata Consultancy Services (TCS)
"sql, NLP, Azure, java, restful apis, Spark, django, node.js, JavaScript, mysql","Cloud Architecture, attention to detail, php, mongodb, analytical thinking",9.04,10,IIT,Tata Consultancy Services (TCS)
"node.js, go, django, sql, AWS, Spring Boot, Azure, ruby, teamwork, javascript","node.js, Spark, TensorFlow, leadership, javascript",8.84,10,IIT,Tata Consultancy Services (TCS)
"continuous learning, Cloud Architecture, attention to detail, php, mongodb, collaboration, cassandra, DevOps, java, Spring Boot","Azure, sql, React, oracle, php",9.47,10,IIT,Tata Consultancy Services (TCS)
"sql, postgresql, java, ruby on rails, web services, time management, node.js, Cloud Computing, ruby, oracle","ruby on rails, time management, node.js, attention to detail, Spark",9.38,10,IIT,Tata Consultancy Services (TCS)
"React, node.js, ruby on rails, cassandra, attention to detail, Azure, continuous learning, Spark, java, mysql","collaboration, problem-solving, mentoring, google cloud, python",8.1,9,IIT,Tata Consultancy Services (TCS)
"Cloud Architecture, adaptability, TensorFlow, teamwork, javascript, attention to detail, django, continuous learning, Cloud Computing, ruby","adaptability, postgresql, NLP, analytical thinking, logical thinking",9.5,10,IIT,Tata Consultancy Services (TCS)
"TensorFlow, AWS, web services, Cloud Architecture, go, leadership, JavaScript, Azure, NLP, adaptability","analytical thinking, oracle, mysql, communication, javascript",8.44,9,IIT,Tata Consultancy Services (TCS)
"attention to detail, JavaScript, DevOps, oracle, javascript, Azure, communication, ruby on rails, teamwork, collaboration","adaptability, google cloud, communication, cassandra, analytical thinking",8.34,9,IIT,Tata Consultancy Services (TCS)
"google cloud, oracle, restful apis, attention to detail, leadership, javascript, collaboration, Spark, mysql, TensorFlow","collaboration, java, python, mysql, Cloud Computing",8.43,9,IIT,Tata Consultancy Services (TCS)
"sql, mysql, analytical thinking, logical thinking, problem-solving, php, web services, attention to detail, adaptability, Cloud Architecture","google cloud, oracle, mongodb, time management, cassandra",8.21,9,IIT,Tata Consultancy Services (TCS)
"django, AWS, mongodb, attention to detail, time management, analytical thinking, cassandra, Spark, Spring Boot, DevOps","Azure, Cloud Architecture, continuous learning, ruby, leadership",8.25,10,IIT,Tata Consultancy Services (TCS)
"NLP, Spring Boot, ruby, communication, React, python, teamwork, javascript, web services, mentoring","teamwork, mongodb, Cloud Architecture, AWS, Azure",9.57,10,IIT,Tata Consultancy Services (TCS)
"Cloud Architecture, adaptability, analytical thinking, teamwork, oracle, logical thinking, php, mentoring, django, mongodb","sql, JavaScript, restful apis, mongodb, communication",8.45,10,IIT,Tata Consultancy Services (TCS)
"web services, React, communication, oracle, analytical thinking, DevOps, problem-solving, JavaScript, teamwork, TensorFlow","javascript, leadership, DevOps, problem-solving, AWS",9.29,9,IIT,Tata Consultancy Services (TCS)
"Azure, postgresql, mysql, DevOps, adaptability, oracle, communication, teamwork, analytical thinking, flask","adaptability, cassandra, mysql, time management, Azure",8.19,9,IIT,Tata Consultancy Services (TCS)
"Spring Boot, leadership, cassandra, continuous learning, web services, analytical thinking, postgresql, AWS, javascript, React","google cloud, logical thinking, attention to detail, java, continuous learning",9.19,9,IIT,Tata Consultancy Services (TCS)
"flask, ruby, TensorFlow, Spark, node.js, postgresql, Cloud Architecture, web services, Azure, leadership","restful apis, Azure, continuous learning, collaboration, google cloud",8.45,9,IIT,Tata Consultancy Services (TCS)
"TensorFlow, ruby, google cloud, time management, postgresql, teamwork, leadership, problem-solving, restful apis, oracle","React, DevOps, web services, Spring Boot, ruby on rails",8.31,10,IIT,Tata Consultancy Services (TCS)
"cassandra, flask, mentoring, DevOps, restful apis, java, web services, attention to detail, javascript, React","NLP, problem-solving, oracle, cassandra, TensorFlow",9.21,10,IIT,Tata Consultancy Services (TCS)
"communication, NLP, analytical thinking, sql, attention to detail, ruby, problem-solving, restful apis, php, continuous learning","python, postgresql, JavaScript, teamwork, time management",8.05,9,IIT,Tata Consultancy Services (TCS)
"cassandra, mentoring, java, time management, javascript, collaboration, logical thinking, Cloud Computing, Spring Boot, analytical thinking","TensorFlow, python, javascript, continuous learning, DevOps",9.2,10,IIT,Tata Consultancy Services (TCS)
"continuous learning, NLP, mysql, time management, adaptability, ruby on rails, ruby, leadership, Azure, JavaScript","mysql, analytical thinking, php, Cloud Architecture, ruby",8.74,9,IIT,Tata Consultancy Services (TCS)
"mongodb, time management, python, go, mysql, javascript, leadership, continuous learning, Spark, adaptability","javascript, problem-solving, collaboration, mongodb, cassandra",9.27,9,IIT,Tata Consultancy Services (TCS)
"communication, analytical thinking, Spark, django, mentoring, go, ruby on rails, web services, attention to detail, ruby","mentoring, ruby on rails, java, continuous learning, go",8.28,10,IIT,Tata Consultancy Services (TCS)
"java, teamwork, time management, oracle, flask, leadership, restful apis, web services, cassandra, communication","restful apis, python, node.js, analytical thinking, Spring Boot",8.19,9,IIT,Tata Consultancy Services (TCS)
"analytical thinking, flask, restful apis, Spring Boot, problem-solving, oracle, React, attention to detail, communication, adaptability","React, Spark, TensorFlow, leadership, AWS",9.54,10,IIT,Tata Consultancy Services (TCS)
"ruby on rails, Cloud Architecture, mysql, go, php, mongodb, continuous learning, cassandra, logical thinking, NLP","collaboration, javascript, React, php, oracle",9.03,10,IIT,Infosys
"ruby on rails, problem-solving, php, mysql, Cloud Computing, mentoring, DevOps, restful apis, collaboration, flask","web services, node.js, java, JavaScript, ruby on rails",9.47,9,IIT,Infosys
